,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
158,0.25908994674682617,0.055463924340238724,0.0011601924896240234,5.659585031624192e-05,0.01,"(25, 25)",8,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 8}",0.600941302517793,0.5245965238981999,0.6123137802607076,0.5776691495965238,0.5497815230961299,0.5731012206383503,0.03234500340852303,195,0.5807765151515152,0.5981489099136158,0.59151402230987,0.5981029351271567,0.6050458139220197,0.5947176392848355,0.0081795249400815
159,0.2710660457611084,0.050307734487097126,0.0011939525604248047,6.038298719218894e-05,0.01,"(25, 25)",9,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 9}",0.5626387081962195,0.5916356300434512,0.6137492240844197,0.5790270018621974,0.5497815230961299,0.5793766622254876,0.02229589903577022,175,0.5658265345765346,0.5852566119002105,0.5856244101918843,0.6067171582742518,0.5700474570373663,0.5826944343960495,0.01439939481289121
160,0.3195802688598633,0.12764957191611204,0.0027760982513427733,0.0032526501897907133,0.01,"(25, 25)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 10}",0.5395653172112957,0.5124534450651769,0.5499689633767846,0.5304934823091247,0.5051498127340824,0.5275536268520237,0.016636659777843347,327,0.5499368686868688,0.5297069712294626,0.5386889926682314,0.5366273864543761,0.5572384063714214,0.542439725082072,0.00985070987055312
161,0.2764622688293457,0.062118105021428525,0.0012979984283447265,0.00013146923630369755,0.01,"(25, 25)",15,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 15}",0.5205479452054795,0.5332867783985102,0.5596291123525761,0.5374379267535692,0.5150593008739077,0.5331965861385868,0.015523862804958252,318,0.5138646076146077,0.520025649091393,0.5562852372540954,0.5424444068042685,0.5563008640853647,0.537784152969946,0.01785713183034753
162,0.2949103832244873,0.14486675797253504,0.0012609004974365235,0.00013949500859586418,0.01,"(25, 25)",20,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 20}",0.595086860029081,0.6012957790192427,0.6289183736809435,0.5609869646182496,0.563358302122347,0.5899545376134203,0.025364983009985718,144,0.607396076146076,0.6181285842185497,0.6142328259975319,0.5990611464659907,0.6143318319769577,0.6106300929610212,0.006741058017521121
163,0.337650728225708,0.1677049346737113,0.0013195991516113282,0.00010027516975472033,0.01,"(25, 25)",25,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 25}",0.6090533404760083,0.566651148355059,0.6026536312849161,0.5374379267535692,0.524812734082397,0.5681888801795483,0.03372345183469757,224,0.6262529137529138,0.5652672586928642,0.5811696953565465,0.5621748493720812,0.5767286539985695,0.582318674234595,0.023062134909078952
164,0.3487405300140381,0.11579667996302744,0.0012076854705810546,8.559573652637557e-05,0.01,"(25, 25)",30,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 30}",0.6150991046146782,0.5970670391061453,0.6372982619491,0.6025760397268777,0.571785268414482,0.6047996557791492,0.021508165175315303,104,0.623285742035742,0.6408425484550052,0.6008275461562658,0.6370871343189682,0.6155400050259999,0.6235165951983962,0.014579577625366606
165,0.2793721199035645,0.0693861962506756,0.0011991024017333984,7.982752498435383e-05,0.01,"(25, 25)",35,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 35}",0.5682253003749904,0.5568358162631907,0.5846135940409682,0.5680090006207325,0.5401841448189764,0.5635959147740154,0.014658519420887372,231,0.5637529137529138,0.5766786846371621,0.5826045926391947,0.5743218718997266,0.5843473932458294,0.5763410912349654,0.007293637639457933
166,0.3550126552581787,0.09729372631487924,0.005825710296630859,0.008868525342348568,0.01,"(25, 25)",40,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 40}",0.6186959516338869,0.5804624456859093,0.624844816883923,0.5763112973308505,0.5651529338327091,0.5931361528326599,0.02402076139798068,137,0.6241792929292931,0.6212572894233794,0.6209257870157523,0.5659665593921649,0.5701102820359165,0.6004878421593013,0.026551382231951862
167,0.4620219707489014,0.4037168162540513,0.033588743209838866,0.0118543579295247,0.01,"(25, 25)",45,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'rp__n_components': 45}",0.5012627228897222,0.5845360024829298,0.6468808193668528,0.5874068901303537,0.5332397003745318,0.5706397473855436,0.050024958374604446,212,0.5204715423465424,0.6492704527306604,0.6727200135504633,0.6233188956372347,0.5587292919139394,0.604902039235768,0.05686377714524712
