mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.004383277893066406,0.004517376989113979,0.20837340354919434,0.02970289009030899,manhattan,34,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 34, 'KNN__weights': 'uniform'}",0.5794593006171025,0.5660583510512639,0.5658516418615639,0.584050693448111,0.6170492587278815,0.5824665501157886,0.01870762432219737,34,0.6074420677361854,0.5762508809020436,0.6062627498980008,0.5959482596042555,0.5874579831155913,0.5946723882512153,0.01175098820898188
0.0026136398315429687,0.0007444981279157484,0.23579063415527343,0.04686698522429485,manhattan,37,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 37, 'KNN__weights': 'uniform'}",0.5794593006171025,0.572082447436806,0.5658516418615639,0.5779531324725012,0.6267934002869441,0.5843994913358153,0.021699103672526626,30,0.615307486631016,0.5807963354474981,0.6068450725121471,0.6017039718667144,0.5907657149618936,0.5990837162838538,0.01211554834042175
0.002250337600708008,9.596714759113384e-05,0.3249687671661377,0.08517130303500685,manhattan,40,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 40, 'KNN__weights': 'uniform'}",0.5613870114604759,0.5769844082211197,0.5658516418615639,0.5657580105212817,0.6085007173601149,0.5756704336460436,0.017180666472090895,43,0.600479055258467,0.5759893920848632,0.5995901487333554,0.589905963531748,0.5820276821471227,0.5895984483511113,0.009600407930506042
0.002029085159301758,7.968983277733628e-05,0.3087024688720703,0.01753209277774854,manhattan,43,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 43, 'KNN__weights': 'uniform'}",0.5674111078460181,0.5745334278289629,0.5658516418615639,0.5779531324725012,0.6109516977522716,0.5793108057915756,0.016410372012108123,38,0.6056372549019607,0.5808260079373909,0.601105300248507,0.5950496806901677,0.5895805522377573,0.5944397592031567,0.008707829435984919
0.0030385494232177735,0.0021977450206689558,0.31643023490905764,0.009110062728534696,manhattan,46,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 46, 'KNN__weights': 'uniform'}",0.5613870114604759,0.5734112922277343,0.5622785258681786,0.5657580105212817,0.601207556193209,0.5727856270393922,0.014806365912326515,48,0.6008021390374332,0.5750862356737508,0.5917232298505247,0.5881088057035724,0.5814545145270257,0.5874349849584614,0.008783866145379694
0.0038522720336914063,0.0028456755372161854,0.31955680847167967,0.039731166185335426,manhattan,49,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 49, 'KNN__weights': 'uniform'}",0.5698501322362621,0.5709603118355775,0.5622785258681786,0.559660449545672,0.6085007173601149,0.5742332484240422,0.01763964154090309,46,0.6035093582887701,0.5762805533919365,0.601105300248507,0.5962736708982461,0.5799051130249567,0.5914147991704832,0.01118312189265369
0.0022511959075927736,0.00022572880806919277,0.23688411712646484,0.0187922698925685,euclidean,1,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.5792829856009403,0.6273033309709425,0.5617469879518072,0.565339550454328,0.5677307508369202,0.5802991963411416,0.02423667800164291,36,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.00212244987487793,0.00035099391455495165,0.27816972732543943,0.0469447716902728,euclidean,4,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",0.5900675874228621,0.6104712969525159,0.571669029057406,0.5546987087517934,0.5913438546150167,0.5836693946063735,0.018972363057642966,33,0.6577317290552583,0.6544267645858832,0.6762805533919365,0.6506155080668721,0.6696409751984824,0.6617391060596864,0.00966599262356561
0.001962566375732422,0.00020145738467641298,0.3014492988586426,0.02555679518668831,euclidean,7,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.6201880693505729,0.6294590125206709,0.571462319867706,0.6107723577235773,0.6156145384983263,0.6095015611491588,0.020000622564410587,4,0.6690396613190731,0.6697507510849003,0.6900597158859092,0.6734053922130556,0.6899440514445673,0.6784399143895012,0.009555916350250321
0.002843427658081055,0.001113798990057596,0.25298094749450684,0.04665847810164776,euclidean,10,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",0.6178959741404643,0.6129222773446728,0.5522678951098512,0.5706001912960306,0.6157340985174558,0.5939018318923007,0.02717175384240599,12,0.6161430481283422,0.6104576981565965,0.6404398946626608,0.6160812344921179,0.6393518398680605,0.6244947430615555,0.012748001800042163
0.002299642562866211,0.00048177221926099016,0.21840543746948243,0.018372076784848083,euclidean,13,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",0.6130179253599765,0.6200685093314433,0.6006673753838884,0.5925394548063128,0.6010282161645145,0.6054816703728244,0.009797573913867392,6,0.6300356506238859,0.6176532769556025,0.6391565594747969,0.6314735584834353,0.6410325152444097,0.6318703121564261,0.008278681679197422
0.0021409034729003907,9.318935341656094e-05,0.19139180183410645,0.009964375622370505,euclidean,16,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",0.5998236849838376,0.6129222773446728,0.5729978738483344,0.5755021520803444,0.6022835963653754,0.5927161985517533,0.01571723982618909,14,0.6025066844919785,0.5977244909313452,0.6176829494454952,0.6148960717679818,0.6175529810263027,0.6100726355326207,0.00832896480863425
0.0021832942962646484,0.0001815777866690725,0.17947263717651368,0.020066261588606474,euclidean,19,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 19, 'KNN__weights': 'uniform'}",0.6239200705260064,0.6213973541223718,0.5921922986061895,0.6120875179340028,0.6181252989000479,0.6135495650342576,0.011393766589785453,2,0.6143048128342246,0.6080097177404398,0.6273561811505507,0.6175918085102449,0.6298853294974244,0.6194295699465768,0.008151166786805325
0.0032318115234375,0.002135326497580072,0.20659890174865722,0.014218399186620004,euclidean,22,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 22, 'KNN__weights': 'uniform'}",0.6022627093740817,0.5937278525868177,0.5765709898417197,0.5876972740315639,0.5986370157819225,0.5917845432101694,0.009045757142281818,17,0.6031194295900177,0.5934701976929638,0.6140406513111532,0.6046086374511421,0.6036712310531124,0.6037820294196778,0.006522389015112523
0.001981639862060547,0.00023916416888608677,0.2231904983520508,0.04863060301552549,euclidean,25,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 25, 'KNN__weights': 'uniform'}",0.6143109021451659,0.5937278525868178,0.5620718166784786,0.58889287422286,0.6010879961740795,0.5920296888636489,0.017269346340437013,16,0.6051804812834225,0.5928285300990318,0.6234227217091354,0.6160812344921179,0.6169409859222637,0.6108907907011943,0.0107652009312851
