k,type,score,label
2,Kmeans,0.920242,0
2,Kmeans,0.900758,0
2,Kmeans,0.904983,0
2,Kmeans,0.91991,0
2,Kmeans,0.919884,0
2,Kmeans,0.878844,0
2,Kmeans,0.921875,0
2,Kmeans,0.921722,0
2,Kmeans,0.556867,0
2,Kmeans,0.91787,0
2,Kmeans,0.916239,0
2,Kmeans,0.914611,0
2,Kmeans,0.846184,0
2,Kmeans,0.888165,0
2,Kmeans,0.918397,0
2,Kmeans,0.922809,0
2,Kmeans,0.91877,0
2,Kmeans,0.910851,0
2,Kmeans,0.923398,0
2,Kmeans,0.771829,0
2,Kmeans,0.913989,0
2,Kmeans,0.919174,0
2,Kmeans,0.917346,0
2,Kmeans,0.90801,0
2,Kmeans,0.921987,0
2,Kmeans,0.702383,0
2,Kmeans,0.918006,0
2,Kmeans,0.921436,0
2,Kmeans,0.845006,0
2,Kmeans,0.91374,0
2,Kmeans,0.915747,0
2,Kmeans,0.922079,0
2,Kmeans,0.77084,0
2,Kmeans,0.919474,0
2,Kmeans,0.920352,0
2,Kmeans,0.9025,0
2,Kmeans,0.922865,0
2,Kmeans,0.913513,0
2,Kmeans,0.899735,0
2,Kmeans,0.787735,0
2,Kmeans,0.918896,0
2,Kmeans,0.916971,0
2,Kmeans,0.881527,0
2,Kmeans,0.892098,0
2,Kmeans,0.92171,0
2,Kmeans,0.920164,0
2,Kmeans,0.90733,0
2,Kmeans,0.916381,0
2,Kmeans,0.850492,0
2,Kmeans,0.810765,0
2,Kmeans,0.914038,0
2,Kmeans,0.897607,0
2,Kmeans,0.899343,0
2,Kmeans,0.864893,0
2,Kmeans,0.691446,0
2,Kmeans,0.921838,0
2,Kmeans,0.911094,0
2,Kmeans,0.865994,0
2,Kmeans,0.735766,0
2,Kmeans,0.831132,0
2,Kmeans,0.912972,0
2,Kmeans,0.917257,0
2,Kmeans,0.80905,0
2,Kmeans,0.920818,0
2,Kmeans,-0.002146,1
2,Kmeans,0.91649,0
2,Kmeans,0.92324,0
2,Kmeans,0.899578,0
2,Kmeans,0.725519,0
2,Kmeans,0.910577,0
2,Kmeans,0.914478,0
2,Kmeans,0.921351,0
2,Kmeans,0.627086,0
2,Kmeans,0.909868,0
2,Kmeans,0.917942,0
2,Kmeans,0.919662,0
2,Kmeans,0.92097,0
2,Kmeans,0.817488,0
2,Kmeans,0.901012,0
2,Kmeans,0.797882,0
2,Kmeans,0.477769,0
2,Kmeans,0.918348,0
2,Kmeans,0.920592,0
2,Kmeans,0.547871,0
2,Kmeans,0.91328,0
2,Kmeans,0.919878,0
2,Kmeans,0.906615,0
2,Kmeans,0.021384,1
2,Kmeans,0.91214,0
2,Kmeans,0.923199,0
2,Kmeans,0.919332,0
2,Kmeans,0.905246,0
2,Kmeans,0.902214,0
2,Kmeans,0.918669,0
2,Kmeans,0.871431,0
2,Kmeans,0.896689,0
2,Kmeans,0.912483,0
2,Kmeans,0.685436,0
2,Kmeans,0.872548,0
2,Kmeans,0.920565,0
2,Kmeans,0.921009,0
2,Kmeans,0.917679,0
2,Kmeans,0.920886,0
2,Kmeans,0.906061,0
2,Kmeans,0.919178,0
2,Kmeans,0.92266,0
2,Kmeans,0.915729,0
2,Kmeans,0.869872,0
2,Kmeans,0.919745,0
2,Kmeans,0.920799,0
2,Kmeans,0.918966,0
2,Kmeans,0.914681,0
2,Kmeans,0.922297,0
2,Kmeans,0.881304,0
2,Kmeans,0.918756,0
2,Kmeans,0.873082,0
2,Kmeans,0.892443,0
2,Kmeans,0.916672,0
2,Kmeans,0.503252,0
2,Kmeans,0.920639,0
2,Kmeans,0.906159,0
2,Kmeans,0.79834,0
2,Kmeans,0.911282,0
2,Kmeans,0.921837,0
2,Kmeans,0.91432,0
2,Kmeans,0.898226,0
2,Kmeans,0.541511,0
2,Kmeans,0.912427,0
2,Kmeans,-0.078184,1
2,Kmeans,0.151956,1
2,Kmeans,-0.066094,1
2,Kmeans,0.919813,0
2,Kmeans,0.450943,0
2,Kmeans,0.897558,0
2,Kmeans,0.911834,0
2,Kmeans,0.788123,0
2,Kmeans,0.919082,0
2,Kmeans,0.921083,0
2,Kmeans,0.883356,0
2,Kmeans,0.922584,0
2,Kmeans,0.920775,0
2,Kmeans,0.868595,0
2,Kmeans,0.542047,0
2,Kmeans,0.913429,0
2,Kmeans,0.889564,0
2,Kmeans,0.774543,0
2,Kmeans,0.916503,0
2,Kmeans,0.916585,0
2,Kmeans,0.917511,0
2,Kmeans,0.919625,0
2,Kmeans,0.917214,0
2,Kmeans,0.92211,0
2,Kmeans,0.923131,0
2,Kmeans,0.913761,0
2,Kmeans,0.913947,0
2,Kmeans,0.918054,0
2,Kmeans,0.903278,0
2,Kmeans,0.700751,0
2,Kmeans,0.903877,0
2,Kmeans,0.9072,0
2,Kmeans,0.918469,0
2,Kmeans,0.910146,0
2,Kmeans,0.921365,0
