k,type,score,label
2,Kmeans,0.882712,0
2,Kmeans,0.616576,0
2,Kmeans,0.869041,0
2,Kmeans,0.875663,0
2,Kmeans,0.884766,0
2,Kmeans,0.842989,0
2,Kmeans,0.776541,0
2,Kmeans,0.875393,0
2,Kmeans,0.755427,0
2,Kmeans,0.870758,0
2,Kmeans,0.833724,0
2,Kmeans,0.272705,0
2,Kmeans,0.869353,0
2,Kmeans,0.885809,0
2,Kmeans,0.878621,0
2,Kmeans,0.871105,0
2,Kmeans,0.885314,0
2,Kmeans,0.886149,0
2,Kmeans,0.870675,0
2,Kmeans,0.687632,0
2,Kmeans,0.885608,0
2,Kmeans,0.881245,0
2,Kmeans,0.882985,0
2,Kmeans,0.466559,0
2,Kmeans,0.887828,0
2,Kmeans,0.885636,0
2,Kmeans,0.862386,0
2,Kmeans,0.824753,0
2,Kmeans,0.887961,0
2,Kmeans,0.835181,0
2,Kmeans,0.882681,0
2,Kmeans,0.859311,0
2,Kmeans,0.870525,0
2,Kmeans,0.859794,0
2,Kmeans,0.870595,0
2,Kmeans,0.856992,0
2,Kmeans,0.837987,0
2,Kmeans,0.882241,0
2,Kmeans,0.803854,0
2,Kmeans,0.882944,0
2,Kmeans,0.872508,0
2,Kmeans,0.854898,0
2,Kmeans,0.884332,0
2,Kmeans,0.822775,0
2,Kmeans,0.814943,0
2,Kmeans,0.877988,0
2,Kmeans,0.886717,0
2,Kmeans,0.330397,0
2,Kmeans,0.86104,0
2,Kmeans,0.85724,0
2,Kmeans,0.861241,0
2,Kmeans,0.878663,0
2,Kmeans,0.864419,0
2,Kmeans,0.87172,0
2,Kmeans,0.881499,0
2,Kmeans,0.856613,0
2,Kmeans,0.660763,0
2,Kmeans,0.873506,0
2,Kmeans,0.876992,0
2,Kmeans,0.886513,0
2,Kmeans,0.357042,1
2,Kmeans,0.872444,0
2,Kmeans,0.887115,0
2,Kmeans,0.86688,0
2,Kmeans,0.877685,0
2,Kmeans,0.847839,0
2,Kmeans,0.628686,0
2,Kmeans,0.887919,0
2,Kmeans,0.358905,0
2,Kmeans,0.871281,0
2,Kmeans,0.777409,0
2,Kmeans,0.434987,0
2,Kmeans,0.567589,0
2,Kmeans,0.874301,0
2,Kmeans,0.879723,0
2,Kmeans,0.884978,0
2,Kmeans,0.876509,0
2,Kmeans,0.882861,0
2,Kmeans,0.829919,0
2,Kmeans,0.787225,0
2,Kmeans,0.868943,0
2,Kmeans,0.783158,0
2,Kmeans,0.838097,0
2,Kmeans,0.885848,0
2,Kmeans,0.885859,0
2,Kmeans,0.862648,0
2,Kmeans,0.822518,0
2,Kmeans,0.823845,0
2,Kmeans,0.089505,1
2,Kmeans,0.889068,0
2,Kmeans,0.883833,0
2,Kmeans,0.841383,0
2,Kmeans,0.791003,0
2,Kmeans,0.525718,0
2,Kmeans,0.787491,0
2,Kmeans,0.87725,0
2,Kmeans,0.687523,0
2,Kmeans,0.84185,0
2,Kmeans,0.884301,0
2,Kmeans,0.822227,0
2,Kmeans,0.874314,0
2,Kmeans,0.759372,0
2,Kmeans,0.864022,0
2,Kmeans,0.805897,0
2,Kmeans,0.882722,0
