,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
247,0.5871939182281494,0.045872631058637696,0.10721511840820312,0.006381218769240535,0.001,"(25, 25)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 2}",0.600941302517793,0.5971446306641837,0.5846135940409682,0.6150294847920547,0.6303058676654183,0.605583577876205,0.015688048798912856,87,0.6116647241647242,0.6205216928400319,0.5676966631983933,0.6507101894645148,0.6098398445806189,0.6120866228496566,0.026603100694190775
248,0.5784623622894287,0.10812474602904333,0.1059783935546875,0.0031550998604084808,0.001,"(25, 25)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 3}",0.6115787862554527,0.6373758535071384,0.6220515207945375,0.5680090006207325,0.5678058676654183,0.6013990845882495,0.02850893228740827,122,0.6210445804195804,0.626375009073971,0.6288044135795,0.5749485808309338,0.5988237227194525,0.6099992613246876,0.020480433617358566
249,0.6566792964935303,0.04475595601062284,0.13284525871276856,0.021266544349423704,0.001,"(25, 25)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 4}",0.5940919874492997,0.5888423339540658,0.5846135940409682,0.5568358162631906,0.5788857677902622,0.5806660164092459,0.012918556326538488,178,0.5876966783216784,0.5759793839378615,0.5783724925593438,0.5987659399424106,0.5908401152113819,0.5863309219945352,0.008334491278892258
250,0.7762604236602784,0.04502387403179681,0.12060666084289551,0.02166818113887829,0.001,"(25, 25)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 5}",0.5940919874492997,0.5805400372439478,0.5943513345747982,0.5526846679081315,0.5567259675405744,0.5757085726643931,0.01788404790682292,188,0.5876966783216784,0.571488373218477,0.5773779853364628,0.5836353957461224,0.5867129960758539,0.581382285739719,0.006120268911826368
251,0.7426042556762695,0.04124334185078187,0.13680496215820312,0.013547981742238561,0.001,"(25, 25)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 6}",0.5,0.5110955927995035,0.5,0.5,0.5069444444444445,0.5036024740269215,0.0046099080237548325,374,0.5,0.5189948459844654,0.5,0.5000000000000001,0.5138094179505519,0.5065608527870035,0.008200978620176137
252,0.6719781875610351,0.03716403549582843,0.1278592586517334,0.018373607302155325,0.001,"(25, 25)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 7}",0.5,0.5,0.5069444444444444,0.5,0.5000000000000001,0.5013888888888889,0.002777777777777757,377,0.5,0.5017301038062284,0.5072519176325404,0.5062211145256128,0.5148726102337091,0.5060151492396182,0.005187875629960734
253,0.6867860317230224,0.11426220703424816,0.12013497352600097,0.012999806054784766,0.001,"(25, 25)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 8}",0.5785949338027092,0.6040890751086282,0.6012957790192428,0.5846135940409684,0.598392634207241,0.5933814281756745,0.009986883378379153,156,0.609205031080031,0.6101410700026617,0.5818327001718004,0.6017494616110535,0.5956969708685315,0.5997250467468156,0.010380976449338036
254,0.6878234386444092,0.1057684978813977,0.13340334892272948,0.016140063201136517,0.001,"(25, 25)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 9}",0.6103160633657305,0.612391371818746,0.6081626319056487,0.5304158907510862,0.535892634207241,0.5794950199468686,0.03784198160216882,180,0.6172348484848486,0.6187552931497569,0.594274929223026,0.5589735523991579,0.5687450464904988,0.5915967339494577,0.02444808613726275
255,0.7389117240905761,0.09698741394947522,0.12057480812072754,0.01849347662023409,0.001,"(25, 25)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 10}",0.5639014310859418,0.4942582247051521,0.4997672253258845,0.5318513345747984,0.5137328339575532,0.5207421849076577,0.025234259535424762,330,0.5797397047397047,0.5246666827981707,0.5322863987223849,0.5316596897911777,0.572872165626027,0.5482449283354931,0.023169377311089336
256,0.7248229503631591,0.09539370198513479,0.11197495460510254,0.011149864556076984,0.001,"(25, 25)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 15}",0.5585826892171118,0.5458178150217255,0.5402312228429547,0.5150915580384854,0.5024968789013734,0.532488722693028,0.020590323714660814,285,0.5839355089355089,0.5252159605100782,0.5404190964744597,0.5424444068042684,0.554904216040672,0.5493838377529975,0.019681977220063696
257,0.8189586162567138,0.04568655511413951,0.13577852249145508,0.039771159589804164,0.001,"(25, 25)",20,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 20}",0.5788627841126502,0.6040114835505898,0.6693047796399751,0.569366852886406,0.5969101123595506,0.6036768221686017,0.03506596739913422,90,0.6057813714063714,0.634031020882232,0.633699518474605,0.582091610811334,0.6327274748216737,0.6176661992792433,0.020777474387961157
258,0.8073779106140136,0.06975057781137846,0.12903623580932616,0.017926074098888026,0.001,"(25, 25)",25,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 25}",0.5788627841126502,0.6040114835505898,0.6693047796399751,0.569366852886406,0.5969101123595506,0.6036768221686017,0.03506596739913422,90,0.6057813714063714,0.634031020882232,0.633699518474605,0.582091610811334,0.6327274748216737,0.6176661992792433,0.020777474387961157
